"","ke","Date","Plot","Plot_Full_Name","Site","Initials","Latitude","Longitude","Modified.Latitude","Modified.Longitude","UTM.X","UTM.Y","Elevation..m.","Slope","Aspect","Temp","Amynthas","Rain.in.last.24..in.hr.","Invasion.Mechanism","soil.collected","eDNA.collected","live.worms.collected","soil.moisture","drainage","litter.depth..cm.","Picture","worm.castings","litter.cover..1","litter.cover..2","litter.cover..3","litter.cover..4","Open.Sky","Crown.Density","dom.overstory..1","dom.overstory..2","dom.overstory..3","dom.overstory..4","dom.understory..1","dom.understory..2","dom.understory..3","dom.understory..4","dom.herbs..1","dom.herbs..2","dom.herbs..3","dom.herbs..4","Overstory...cover","Understory...Cover","Herbaceous.Layer...Cover","Moss.","Dom.Moss...Cover","Location.Notes","Fall","Detected.European","Lumbricus.rubellus.","Lumbricus.terrestris.","Aporrectodea.caliginosa.","Contamination","Temp.C","Rain.in.last.24..cm.hr.","avg.litter.cover","Plot.name","richness.quadrat","richness.saplings","richness.tree","shannon_diversity.quadrat","shannon_diversity.saplings","evenness.quadrat","evenness.saplings","evenness.tree","worm_species","shannon_diversity.tree"
"11","11","8/13/24","2","2. by Parson's Brook","Bigelow","RW","45.16922","-70.25302",NA,NA,NA,NA,385,6,60,75,"N",0,"road to w by 50 ft, road to N by 30 ft, ","Y","Y","N","Mesic","Well",-0.338944377727845,"Y","N",90,50,85,60,"2",97.92,"Acer rubrum","Acer pensylvanicum","Picea mariana","Fagus grandifolia","Fagus grandifolia","Acer saccharum","Abies balsamea","Acer pensylvanicum","Maianthemum canadense","Lysimachia borealis","Acer rubrum","Abies balsamea",98,40,25,"Y",5,"Slopped, bouldery mixed hardwood and softwood close by bigelow roads, patches of dense lef litter and patches of wet soil","N",NA,NA,NA,NA,"N",23.8888888888889,0,-0.35540412445957,"Bigelow 2",8,8,7,0.496657591264976,1.75529412907105,0.924061820170557,0.878065648898572,0.88240249994712,NA,1.37710706637449
"12","12","8/13/24","3","3. round barn","Bigelow","RW","45.1667","-70.23412",NA,NA,NA,NA,332,14,118,70,"N",0,"stream ~15 ft s, flagstaff lake about 40 ft e, trail about 35 ft w, possible fishing","Y","Y","N","Mesic","Well",0.39738306354299,"Y","N",80,95,95,98,"4",95.84,"Abies balsamea","Acer rubrum","Betula papyrifera","Picea rubens","Abies balsamea","Acer pensylvanicum","Fagus grandifolia",NA,"Dryopteris carthusiana","Aralia nudicaulis","Streptopus lanceolatus","Acer rubrum",90,10,15,"Y",5,"Slopped boulders and cobbles, right by campsite, mix hard and softwood, clubmoss, right by stream, 10 cwd, cool, shady","N",NA,NA,NA,NA,"N",21.1111111111111,0,0.585323876957334,"Bigelow 3",2,3,4,-1.7091198181213,-1.29695216295986,0.721928094887362,0.313666842850076,0.921185496588554,NA,0.39175691212536
"13","10","8/13/24","1","1. By hurricane island","Bigelow","RW","45.18461","-70.2705",NA,NA,NA,NA,369,3,84,85,"Possibly, found some juveniles",0,"flagstaff lake about 20 ft, gravel road about 60 ft","Y","Y","N","Mesic","Well",-0.175316057445437,"Y","N",90,90,85,98,"7",92.72,"Populus tremuloides","Betula papyrifera","Abies balsamea","Acer rubrum","Acer pensylvanicum","Abies balsamea",NA,NA,"Pteridium aquilinum","Cornus canadensis","Lysimachia borealis","Aralia nudicaulis",95,5,20,"Y",10,"bumpy rocky, terrain, seem late early successional, 15 cwd, right by flagstaff shoreline, shady, mild temp, partly cloudy, no current rain, slight slope towards the lake","N","Y","N","Y","N","N",29.4444444444444,0,0.528653515426196,"Bigelow 1",12,5,4,1.12528651332777,0.701304817764474,0.936269880960157,0.816666385731586,0.819379340457504,"Lumbricus terrestris",0.0757284254119375
"14","14","8/14/24","2","2. Colby Marylowe","Colby Arboretum","RW","44.56205","-69.65814",NA,NA,NA,NA,70,2,86,90,"Possibly, found a worm and adults",0.01,"nearby road about 30 ft away, nearby field about 40 ft away,","Y","Y","Y","Mesic","Well",0.0701264229781745,"Y","Maybe",95,60,98,95,"8",91.68,"Acer rubrum","Prunus serotina","Quercus rubra",NA,"Fraxinus americana","Acer rubrum","Amelanchier arborea ",NA,"Fraxinus americana","Thelypteris noveboracensis","Prunus serotina","Spiraea alba",85,10,55,"Y",2,"Slightly sloped hardwood forest behind parking lot, 10 cwd, found slightly jumpy worm, relatively unbumpy, no visible boulders, lots of leaves and fern","N","N","N","N","N","N",32.2222222222222,0.0254,0.358642430832779,"Colby Arboretum 2",13,3,3,1.14901140030013,-0.235016006679605,0.913011646341517,0.782775952814142,0.965633607142825,"No Worms Detected",-0.0923116159070943
"15","15","8/15/24","1","1. South ridge trail","Bradbury Mountain","RW","43.89939","-70.18242",NA,NA,NA,NA,62,15,278,68,"possibly",0.36,"campsite about 40 ft, parking lot about 40 ft, trail about 40 ft away","Y","Y","N","Mesic","Well",0.39738306354299,"Y","N",90,98,98,95,"4",95.84,"Quercus rubra","Tsuga canadensis","Fagus grandifolia","Acer saccharum","Fagus grandifolia",NA,NA,NA,"Fagus grandifolia","Carex sp.","Polystichum acrostichoides",NA,95,5,2,"Y",3,"sloped terrain with rich leaf cove, hardwood forest, ephemeral stream about 20 ft w, 35 avg tree dbh, 10 cwd, dripping after heavy storm, let plot rest for 1 how 3 found a and the little worm","N","N","N","N","N","Y",20,0.9144,0.732666816938295,"Bradbury Mountain 1",2,4,5,-1.40995507092105,0.0591274536705129,1,0.723308333814104,0.915538508007517,"No Worms Detected",0.831692238159754
"16","16","8/15/24","2","2. SW corner wasp","Bradbury Mountain","RW","43.90466","-70.18956",NA,NA,NA,NA,103,9,352,80,"No, but nearby juveniles",0.36,"bradbury trail about 20 ft, private poverty 30 ft","Y","Y","N","Mesic","Moderate",-0.584386858151457,"Y","N",99,98,95,98,"4",95.84,"Tsuga canadensis","Fagus grandifolia","Acer pensylvanicum","Acer rubrum","Hamamelis virginiana","Fagus grandifolia","Acer pensylvanicum",NA,"Acer pensylvanicum","Fagus grandifolia","Dendrolycopodium obscurum","Lysimachia borealis",95,25,15,"Y",2,"slopped hardwood/softwood area between snowmobile trail and boundry trail, found a salamander, found a juvenile worm nearby but I was stung by a wasp so I moved, 3 cwd, deep leaf and fine roots, many bugs, toads, and birds, cloudy, previously a large thunderstorm","N","N","N","N","N","Y",26.6666666666667,0.9144,0.834673467694345,"Bradbury Mountain 2",10,1,3,0.97573853121469,-2.0070090652321,0.968560527508418,0,0.914100892018565,"No Worms Detected",-0.219083869906475
"17","17","8/15/24","3","3. NE Corner","Bradbury Mountain","RW","43.90738","-70.17834",NA,NA,NA,NA,104,4,70,75,"N",0.36,"trail about 40 ft away. private property about 50 ft away","Y","Y","N","Mesic","Moderate",-0.0116877371630295,"Y","N",90,95,98,90,"8",91.68,"Quercus rubra","Acer rubrum","Pinus strobus","Tsuga canadensis","Hamamelis virginiana","Acer rubrum","Tsuga canadensis",NA,"Pteridium aquilinum","Gaultheria procumbens","Vaccinium angustifolium","Maianthemum canadense",95,10,15,"Y",3,"Slightly bumpy area by trail, few visible boulders about 20 ft avg dbh, 2 cwd, slopped towards trail, by wetter, sream area, predominantly hardwood forest","N",NA,NA,NA,NA,"N",23.8888888888889,0.9144,0.641994238488473,"Bradbury Mountain 3",11,5,2,1.00581811169798,0.527281804335031,0.938144638217759,0.764191395183483,0.985228136034252,NA,-0.938622164810731
"18","18","8/15/24","4","4. Ferns NE","Bradbury Mountain","RW","43.90628","-70.17606",NA,NA,NA,NA,95,6,74,75,"N",0.36,"nearby private house about 100 ft away, trail about 40 ft away","Y","Y","N","Mesic","Moderate",-0.584386858151457,"Y","N",95,95,98,98,"3",96.88,"Quercus rubra","Fraxinus americana","Fagus grandifolia","Acer rubrum","Fagus grandifolia","Acer pensylvanicum",NA,NA,"Claytosmunda claytoniana","Thelypteris noveboracensis","Fraxinus americana","Osmunda regalis",95,5,50,"Y",3,"Sloped area cose to rock wall boundary 5 cwd, lots o f ferns, sunny and partly cloudy hasn't rained in 6 hrs, lots of leaves and ferns, close by boundary trail mostly hardwoods","N",NA,NA,NA,NA,"N",23.8888888888889,0.9144,0.789337178469434,"Bradbury Mountain 4",5,3,4,-0.242693919103046,-0.0765175056007873,0.897944473522682,0.85279248849004,0.828871363252444,NA,0.105193731968379
"19","19","8/16/24","1","1. Monataka trail","Kennebec Highlands","RW","44.52655","-69.91336",NA,NA,NA,NA,88,13,78,69,"Possibly, found juveniles and adults",0,"by private property 40ft, by long pond ~50 ft away","Y","Y","Y","Mesic","Moderate",-0.666201018292661,"Y","N",60,90,85,85,"10",89.6,"Tsuga canadensis","Fagus grandifolia","Acer rubrum",NA,"Tsuga canadensis","Fagus grandifolia",NA,NA,"Polystichum acrostichoides","Gymnocarpium dryopteris","Claytosmunda claytoniana",NA,80,10,5,"Y",10,"slopped, bouldery terrain, thin leaf layers, mix of beech and hemlock, close by boating area, private property, found many juveniles and none adult, unsure if euro or asian, 2 cwd","N","N","N","N","N","N",20.5555555555556,0,0.0412884062584014,"Kennebec Highlands 1",3,2,3,-0.872028114439997,-0.695449064332303,0.946394630357186,0.91829583405449,0.864973520717927,"No Worms Detected",-0.339938895259377
"20","21","8/16/24","3","3. blueberry hill","Kennebec Highlands","RW","44.53687","-69.91819",NA,NA,NA,NA,208,5,312,75,"N",0,"gravel road about 40 ft, road about 100 ft","Y","Y","N","Mesic","Moderate",-0.666201018292661,"Y","N",95,90,90,50,"7",92.72,"Pinus strobus","Quercus rubra","Fagus grandifolia","Acer rubrum","Fagus grandifolia","Acer pensylvanicum",NA,NA,"Vaccinium angustifolium","Pteridium aquilinum","Maianthemum canadense","Lysimachia borealis",80,5,60,"Y",15,"Slightly slopped, majorily white pine woods lots of pine needles and herbacesou plants, right by gravel road 2 cwd, lots of ferns, partly cloudy","N",NA,NA,NA,NA,"N",23.8888888888889,0,0.0979587677895403,"Kennebec Highlands 3",6,4,1,0.254225884975057,0.693907155742946,0.985254752682827,0.945530556036326,NA,NA,-2.4678035460309
"21","20","8/16/24","2","2. 2. Perry's Trail","Kennebec Highlands","RW","44.53016","-69.92322",NA,NA,NA,NA,152,5,162,75,"Possibly, saw 2 worms",0,"perrys trail and road top trail both 10 ft away, private prop 60 ft away","Y","Y","N","Mesic","Moderate",-0.748015178433865,"Y","N",95,80,90,90,"11",88.56,"Quercus rubra","Acer rubrum","Acer saccharum","Ostrya virginiana","Fagus grandifolia","Acer rubrum","Acer saccharum","Tsuga canadensis","Acer saccharum","Acer rubrum","Mitchella repens","Acer pensylvanicum",80,30,15,"Y",7,"slightly slopped rpcky area perry's trail and round top trail, logging road, private property nearby partly cloudy, saw a few adults likely euro, 10 cwd, mostly querub, hardwood forest","N","Y","N","Y","N","Y",23.8888888888889,0,0.437980936976373,"Kennebec Highlands 2",7,5,2,0.472789276762627,0.96926756020864,0.979569764547061,0.897468011332114,0.353359335021421,"Lumbricus terrestris",-1.91935136908625
"22","22","8/16/24","4","4. Sanders Hill","Kennebec Highlands","RW","44.56689","-69.92205",NA,NA,NA,NA,133,4,138,70,"Possibly, found 2 juveniles",0,"road at 40 ft, trail 30 ft, parking lot about 50 ft","Y","Y","N","Mesic","Moderate",-0.829829338575068,"Y","N",95,95,99,95,"2",97.92,"Fagus grandifolia","Quercus rubra","Pinus strobus","Acer rubrum","Fagus grandifolia",NA,NA,NA,"Maianthemum canadense","Abies balsamea","Acer rubrum","Fagus grandifolia",98,3,2,"N",0,"Slightly slopped, relatively flat area, lots of hardwood leaves, few visible boulders, 5 cwd, partly cloudy, found a couple juvenile worms,not a lot, maybe big patch of rattlesnake plantain on the outskirts","N","Y","N","N","Y","Y",21.1111111111111,0,0.766669033856979,"Kennebec Highlands 4",3,4,4,-0.79389566146474,-0.37146308650646,0.992215060722018,0.572568185076526,0.952819531114783,"Aporrectodea caliginosa",0.489955846648487
"23","23","8/17/24","1","1. Old river primitive","Androscoggin Riverlands","RW","44.19567","-70.20966",NA,NA,NA,NA,84,6,146,72,"N",0,"river about 30 ft away, trail about 50 ft away","Y","Y","N","Mesic","Poor",0.151940583119378,"Y","N",70,70,98,98,"10",89.6,"Pinus strobus","Acer rubrum","Abies balsamea","Fraxinus americana",NA,NA,NA,NA,"Dryopteris intermedia","Aralia nudicaulis","Maianthemum canadense","Fraxinus americana",85,0,80,"Y",3,"slightly slopped by floodplain tons of pine needles nd ferns, beaches nearby, could be fished on, washed up trash nearby, 20 cwd, cloudy and little hot and humid","N",NA,NA,NA,NA,"N",22.2222222222222,0,0.222633563158046,"Androscoggin Riverlands 1",3,3,3,-0.839222040009284,-1.00745549908095,0.965633607142825,0.441551670508173,0.75,NA,-0.622777715929132
"24","25","8/17/24","3","3. North Middle","Androscoggin Riverlands","RW","44.24923","-70.1891",NA,NA,NA,NA,74,0,NA,70,"N",0,"river about 30 ft and camp/picnic area about 50 ft away","Y","Y","N","Mesic","Moderate",1.70640962580225,"Y","N",90,95,95,90,"10",89.6,"Pinus strobus","Acer rubrum",NA,NA,"Quercus rubra","Acer rubrum","Picea rubens","Abies balsamea","Abies balsamea","Maianthemum canadense","Acer rubrum","Dryopteris intermedia",95,15,10,"Y",4,"relatively flat, high pine needle area, medium to large white pine, 3 cwd, peninsula by water, cloudy. breezy. nice and cool. also bracken fern and royal fern","N",NA,NA,NA,NA,"N",21.1111111111111,0,0.60799202156979,"Androscoggin Riverlands 3",7,3,2,0.266280276374119,-1.42194832529689,0.911196178454549,0.258449927863169,0.503258334775646,NA,-1.68669179400514
"25","26","8/17/24","4","4. Onway to middle north","Androscoggin Riverlands","RW","44.25446","-70.18584",NA,NA,NA,NA,89,7,163,70,"Possibly, found a juvenile",0,"hiking trail about 20 ft away and river about 60 ft away","Y","Y","N","Mesic","Moderate",-0.175316057445437,"Y","N",85,90,95,70,"6",93.76,"Pinus strobus","Ostrya virginiana","Acer saccharum","Fraxinus americana","Fagus grandifolia","Acer saccharum","Fraxinus americana",NA,"Athyrium filix-femina","Maianthemum canadense","Polystichum acrostichoides","Acer saccharum",90,25,45,"Y",3,"slopped, bouldary area with mixed white pine and hardwoods about 20 cm avg, 10 cwd, cloudy and cool","N",NA,NA,NA,NA,"N",21.1111111111111,0,0.267969852382957,"Androscoggin Riverlands 4",7,6,5,0.171195673682887,1.07476025224247,0.879714377390429,0.834719060152008,0.916516443199602,NA,0.83521660443739
"26","24","8/17/24","2","2. south end","Androscoggin Riverlands","RW","44.18805","-70.22128",NA,NA,NA,NA,102,7,284,73,"N",0,"atv trail about 30 ft away, private property (woods) about 45 ft away","Y","Y","N","Mesic","Moderate",-0.748015178433865,"Y","N",98,90,85,95,"5",94.8,"Abies balsamea","Acer rubrum","Quercus rubra","Hamamelis virginiana","Hamamelis virginiana","Abies balsamea",NA,NA,"Pteridium aquilinum","Maianthemum canadense","Dryopteris intermedia","Polystichum acrostichoides",75,10,30,"y",5,"slightly slopped rocky, young forest ~16 cm avg dbh, ~15 cwd, patch f fallen trees, close by private property and atv trail, cloudy sky","N","Y","N","Y","Y","N",22.7777777777778,0,0.585323876957334,"Androscoggin Riverlands 2",8,3,2,0.526629975375965,0.128999601175505,0.93334820615967,0.943579440673608,0.811278124459133,"Lumbricus terrestris and Aporrectodea caliginosa",-1.20861152994845
"27","27","8/18/24","1","1 Balsam Fir","Bradley","RW","44.97026","-68.53529",NA,NA,NA,NA,41,0,NA,70,"N",0.01,"Bradley county road about 40 ft away and private property about 60 ft away","Y","Y","N","Mesic","Moderate",-0.420758537869049,"Y","N",99,99,80,95,"4",95.84,"Abies balsamea","Tsuga canadensis","Pinus strobus","Acer rubrum","Tsuga canadensis",NA,NA,NA,"Epipactis helleborine","Lysimachia borealis","Maianthemum canadense","Abies balsamea",95,10,1,"Y",15,"red oak also present, bumpy kind of dry area with lots of conifer pine needles, very little understory nearby road and private property, a few with stumps, 5% cwd, partly cloudy","N",NA,NA,NA,NA,"N",21.1111111111111,0.0254,0.641994238488473,"Bradley 1",1,6,3,-2.48580898388315,0.51214365500035,0,0.682330367522441,0.850864228900568,NA,-0.374648239056006
"28","28","8/18/24","2","2. north of birch stream","Bradley","RW","44.9759","-68.52763",NA,NA,NA,NA,89,2,268,70,"N",0.01,"county road about 40 ft away, gravel lot about 25 ft away, and hiking trail about 30 ft away","Y","Y","N","Mesic","Moderate",-0.993457658857476,"Y","N",90,75,95,70,"15",84.4,"Acer rubrum","Abies balsamea","Populus grandidentata",NA,"Abies balsamea","Lonicera canadensis",NA,NA,"Maianthemum canadense","Pteridium aquilinum","Lysimachia borealis","Cornus canadensis",60,15,10,"Y",3,"also cinnamon fern and red aok herbs, slightly slopy and rocky mixed hardwood and softwood, mostly hardwood litter, avg dbh around 15 cm, cloudy, coolish, 10% cwd, by balsam fir trail","N","Y","N","Y","Y","N",21.1111111111111,0.0254,0.154629129320679,"Bradley 2",6,4,3,0.153066506456556,-0.536026565087787,0.948880121251466,0.514958179924237,0.858672711073255,"Lumbricus terrestris and Aporrectodea caliginosa",-0.35543910398601
