ke,Date,Plot,Plot_Full_Name,Site,Initials,Latitude,Longitude,Modified Latitude,Modified Longitude,UTM X,UTM Y,Elevation (m),Slope,Aspect,Temp,Amynthas,Rain in last 24 (in/hr),Invasion Mechanism,soil collected,eDNA collected,live worms collected,soil moisture,drainage,litter depth (cm),Picture,worm castings,litter cover #1,litter cover #2,litter cover #3,litter cover #4,Open Sky,Crown Density,dom overstory #1,dom overstory #2,dom overstory #3,dom overstory #4,dom understory #1,dom understory #2,dom understory #3,dom understory #4,dom herbs #1,dom herbs #2,dom herbs #3,dom herbs #4,Overstory % cover,Understory % Cover,Herbaceous Layer % Cover,Moss?,Dom Moss % Cover,Location Notes,Fall
11,8/13/24,2,2. by Parson's Brook,Bigelow,RW,45.16922,-70.25302,,,,,385,6,60,75,N,0,"road to w by 50 ft, road to N by 30 ft, ",Y,Y,N,Mesic,Well,1.7,Y,N,90,50,85,60,2,97.92,ACERUB,ACEPEN,PICMAR,FAGGRA,FAGGRA,ACESAC,ABIBAL,ACEPEN,MAICAN,LYSBOR,ACERUB,ABIBAL,98,40,25,Y,5,"Slopped, bouldery mixed hardwood and softwood close by bigelow roads, patches of dense lef litter and patches of wet soil",N
12,8/13/24,3,3. round barn,Bigelow,RW,45.16670,-70.23412,,,,,332,14,118,70,N,0,"stream ~15 ft s, flagstaff lake about 40 ft e, trail about 35 ft w, possible fishing",Y,Y,N,Mesic,Well,2.6,Y,N,80,95,95,98,4,95.84,ABIBAL,ACERUB,BETPAP,PICRUB,ABIBAL,ACEPEN,FAGGRA,NA,DRYCAR,ARANUD,STRLAN,ACERUB,90,10,15,Y,5,"Slopped boulders and cobbles, right by campsite, mix hard and softwood, clubmoss, right by stream, 10 cwd, cool, shady",N
13,8/13/24,4,4. Little bigelow ground pit,Bigelow,RW,45.13596,-70.17200,,,,,340,9,310,70,N,0,"boat access trail about 20 ft away, flagstaff about 40 ft away",Y,Y,N,Mesic,Well,1.9,Y,N,90,85,70,80,4,95.84,ABIBAL,PICMAR,ACERUB,THUOCC,ABIBAL,NA,NA,NA,ABIBAL,TRIERE,LYCCLA,DRYCAR,95,60,40,Y,15,"Slopped softwood area by boat access, shady, cool, partly cloudy, 20 cwd, slightly bumpy, no visible boulders",N
14,8/14/24,2,2. Colby Marylowe,Colby Arboretum,RW,44.56205,-69.65814,,,,,70,2,86,90,"Possibly, found a worm and adults",0.01,"nearby road about 30 ft away, nearby field about 40 ft away,",Y,Y,Y,Mesic,Well,2.2,Y,Maybe,95,60,98,95,8,91.68,ACERUB,PRUSER,QUERUB,NA,FRAAME,ACERUB,AMEARB,NA,FRAAME,THENOV,PRUSER,SPIALB,85,10,55,Y,2,"Slightly sloped hardwood forest behind parking lot, 10 cwd, found slightly jumpy worm, relatively unbumpy, no visible boulders, lots of leaves and fern",N
15,8/15/24,1,1. South ridge trail,Bradbury Mountain,RW,43.89939,-70.18242,,,,,62,15,278,68,possibly,0.36,"campsite about 40 ft, parking lot about 40 ft, trail about 40 ft away",Y,Y,N,Mesic,Well,2.6,Y,N,90,98,98,95,4,95.84,QUERUB,TSUCAN,FAGGRA,ACESAC,FAGGRA,NA,NA,NA,FAGGRA,Carex sp.,POLACR,NA,95,5,2,Y,3,"sloped terrain with rich leaf cove, hardwood forest, ephemeral stream about 20 ft w, 35 avg tree dbh, 10 cwd, dripping after heavy storm, let plot rest for 1 how 3 found a and the little worm",N
16,8/15/24,2,2. SW corner wasp,Bradbury Mountain,RW,43.90466,-70.18956,,,,,103,9,352,80,"No, but nearby juveniles",0.36,"bradbury trail about 20 ft, private poverty 30 ft",Y,Y,N,Mesic,Moderate,1.4,Y,N,99,98,95,98,4,95.84,TSUCAN,FAGGRA,ACEPEN,ACERUB,HAMVIR,FAGGRA,ACEPEN,NA,ACEPEN,FAGGRA,DENOBS,LYSBOR,95,25,15,Y,2,"slopped hardwood/softwood area between snowmobile trail and boundry trail, found a salamander, found a juvenile worm nearby but I was stung by a wasp so I moved, 3 cwd, deep leaf and fine roots, many bugs, toads, and birds, cloudy, previously a large thunderstorm",N
17,8/15/24,3,3. NE Corner,Bradbury Mountain,RW,43.90738,-70.17834,,,,,104,4,70,75,N,0.36,trail about 40 ft away. private property about 50 ft away,Y,Y,N,Mesic,Moderate,2.1,Y,N,90,95,98,90,8,91.68,QUERUB,ACERUB,PINSTR,TSUCAN,HAMVIR,ACERUB,TSUCAN,NA,PTEAQU,GAUPRO,VACANG,MAICAN,95,10,15,Y,3,"Slightly bumpy area by trail, few visible boulders about 20 ft avg dbh, 2 cwd, slopped towards trail, by wetter, sream area, predominantly hardwood forest",N
18,8/15/24,4,4. Ferns NE,Bradbury Mountain,RW,43.90628,-70.17606,,,,,95,6,74,75,N,0.36,"nearby private house about 100 ft away, trail about 40 ft away",Y,Y,N,Mesic,Moderate,1.4,Y,N,95,95,98,98,3,96.88,QUERUB,FRAAME,FAGGRA,ACERUB,FAGGRA,ACEPEN,NA,NA,OSMCLA,THENOV,FRAAME,OSMREG,95,5,50,Y,3,"Sloped area cose to rock wall boundary 5 cwd, lots o f ferns, sunny and partly cloudy hasn't rained in 6 hrs, lots of leaves and ferns, close by boundary trail mostly hardwoods",N
19,8/16/24,1,1. Monataka trail,Kennebec Highlands,RW,44.52655,-69.91336,,,,,88,13,78,69,"Possibly, found juveniles and adults",0,"by private property 40ft, by long pond ~50 ft away",Y,Y,Y,Mesic,Moderate,1.3,Y,N,60,90,85,85,10,89.6,TSUCAN,FAGGRA,ACERUB,NA,TSUCAN,FAGGRA,NA,NA,POLACR,GYMDRY,OSMCLA,NA,80,10,5,Y,10,"slopped, bouldery terrain, thin leaf layers, mix of beech and hemlock, close by boating area, private property, found many juveniles and none adult, unsure if euro or asian, 2 cwd",N
20,8/16/24,2,2. 2. Perry's Trail,Kennebec Highlands,RW,44.53016,-69.92322,,,,,152,5,162,75,"Possibly, saw 2 worms",0,"perrys trail and road top trail both 10 ft away, private prop 60 ft away",Y,Y,N,Mesic,Moderate,1.2,Y,N,95,80,90,90,11,88.56,QUERUB,ACERUB,ACESAC,OSTVIR,FAGGRA,ACERUB,ACESAC,TSUCAN,ACESAC,ACERUB,MITREP,ACEPEN,80,30,15,Y,7,"slightly slopped rpcky area perry's trail and round top trail, logging road, private property nearby partly cloudy, saw a few adults likely euro, 10 cwd, mostly querub, hardwood forest",N
21,8/16/24,3,3. blueberry hill,Kennebec Highlands,RW,44.53687,-69.91819,,,,,208,5,312,75,N,0,"gravel road about 40 ft, road about 100 ft",Y,Y,N,Mesic,Moderate,1.3,Y,N,95,90,90,50,7,92.72,PINSTR,QUERUB,FAGGRA,ACERUB,FAGGRA,ACEPEN,NA,NA,VACANG,PTEAQU,MAICAN,LYSBOR,80,5,60,Y,15,"Slightly slopped, majorily white pine woods lots of pine needles and herbacesou plants, right by gravel road 2 cwd, lots of ferns, partly cloudy",N
22,8/16/24,4,4. Sanders Hill,Kennebec Highlands,RW,44.56689,-69.92205,,,,,133,4,138,70,"Possibly, found 2 juveniles",0,"road at 40 ft, trail 30 ft, parking lot about 50 ft",Y,Y,N,Mesic,Moderate,1.1,Y,N,95,95,99,95,2,97.92,FAGGRA,QUERUB,PINSTR,ACERUB,FAGGRA,NA,NA,NA,MAICAN,ABIBAL,ACERUB,FAGGRA,98,3,2,N,0,"Slightly slopped, relatively flat area, lots of hardwood leaves, few visible boulders, 5 cwd, partly cloudy, found a couple juvenile worms,not a lot, maybe big patch of rattlesnake plantain on the outskirts",N
23,8/17/24,1,1. Old river primitive,Androscoggin Riverlands,RW,44.19567,-70.20966,,,,,84,6,146,72,N,0,"river about 30 ft away, trail about 50 ft away",Y,Y,N,Mesic,Poor,2.3,Y,N,70,70,98,98,10,89.6,PINSTR,ACERUB,ABIBAL,FRAAME,NA,NA,NA,NA,DRYINT,ARANUD,MAICAN,FRAAME,85,0,80,Y,3,"slightly slopped by floodplain tons of pine needles nd ferns, beaches nearby, could be fished on, washed up trash nearby, 20 cwd, cloudy and little hot and humid",N
24,8/17/24,2,2. south end,Androscoggin Riverlands,RW,44.18805,-70.22128,,,,,102,7,284,73,N,0,"atv trail about 30 ft away, private property (woods) about 45 ft away",Y,Y,N,Mesic,Moderate,1.2,Y,N,98,90,85,95,5,94.8,ABIBAL,ACERUB,QUERUB,HAMVIR,HAMVIR,ABIBAL,NA,NA,PTEAQU,MAICAN,DRYINT,POLACR,75,10,30,y,5,"slightly slopped rocky, young forest ~16 cm avg dbh, ~15 cwd, patch f fallen trees, close by private property and atv trail, cloudy sky",N
25,8/17/24,3,3. North Middle,Androscoggin Riverlands,RW,44.24923,-70.18910,,,,,74,0,NA,70,N,0,river about 30 ft and camp/picnic area about 50 ft away,Y,Y,N,Mesic,Moderate,4.2,Y,N,90,95,95,90,10,89.6,PINSTR,ACERUB,NA,NA,QUERUB,ACERUB,PICRUB,ABIBAL,ABIBAL,MAICAN,ACERUB,DRYINT,95,15,10,Y,4,"relatively flat, high pine needle area, medium to large white pine, 3 cwd, peninsula by water, cloudy. breezy. nice and cool. also bracken fern and royal fern",N
26,8/17/24,4,4. Onway to middle north,Androscoggin Riverlands,RW,44.25446,-70.18584,,,,,89,7,163,70,"Possibly, found a juvenile",0,hiking trail about 20 ft away and river about 60 ft away,Y,Y,N,Mesic,Moderate,1.9,Y,N,85,90,95,70,6,93.76,PINSTR,OSTVIR,ACESAC,FRAAME,FAGGRA,ACESAC,FRAAME,NA,ATHFIL,MAICAN,POLACR,ACESAC,90,25,45,Y,3,"slopped, bouldary area with mixed white pine and hardwoods about 20 cm avg, 10 cwd, cloudy and cool",N
27,8/18/24,1,1 Balsam Fir,Bradley,RW,44.97026,-68.53529,,,,,41,0,NA,70,N,0.01,Bradley county road about 40 ft away and private property about 60 ft away,Y,Y,N,Mesic,Moderate,1.6,Y,N,99,99,80,95,4,95.84,ABIBAL,TSUCAN,PINSTR,ACERUB,TSUCAN,NA,NA,NA,EPIHEL,LYSBOR,MAICAN,ABIBAL,95,10,1,Y,15,"red oak also present, bumpy kind of dry area with lots of conifer pine needles, very little understory nearby road and private property, a few with stumps, 5% cwd, partly cloudy",N
28,8/18/24,2,2. north of birch stream,Bradley,RW,44.97590,-68.52763,,,,,89,2,268,70,N,0.01,"county road about 40 ft away, gravel lot about 25 ft away, and hiking trail about 30 ft away",Y,Y,N,Mesic,Moderate,0.9,Y,N,90,75,95,70,15,84.4,ACERUB,ABIBAL,POPGRA,NA,ABIBAL,LONCAN,NA,NA,MAICAN,PTEAQU,LYSBOR,CORCAN,60,15,10,Y,3,"also cinnamon fern and red aok herbs, slightly slopy and rocky mixed hardwood and softwood, mostly hardwood litter, avg dbh around 15 cm, cloudy, coolish, 10% cwd, by balsam fir trail",N
29,8/19/24,1,1. NP Shelter,Sebago Lake,RW,43.91239,-70.55877,,,,,91,3,208,68,"Possibly, found a bunch of juveniles but could be european",0,"NP, Parking lot, ! 40 ft away, NP shelter about 35 ft, trail about 20 ft away, and lakeabout 30 ft away",Y,Y,N,Hydric,Poor,1.8,Y,N,90,95,85,75,7,92.72,TSUCAN,QUERUB,FAGGRA,BETALL,NA,NA,NA,NA,Poaceae sp.,FAGGRA,ARITRI,ACERUB,90,NA,15,Y,15,"leaves were 1.8 in some spots and 0 in others, slightly slopped, clay soil, wet area by little floodplain/flooding zone, cool cloudy day, 5 cwd, mix hardoowd and softwood, leaf litter is thin and patchy, mostly oak leavs",N
30,8/19/24,2,2. Cub Point,Sebago Lake,RW,43.91008,-70.56432,,,,,81,3,256,68,"Possibly, found a bunch of juveniles but could be european",0,"marsh wetland about 10 ft away, road about 5 ft away, picnic area about 40 ft",Y,Y,N,Hydric,Poor,0.7,Y,N,90,70,95,55,6,93.76,TSUCAN,FAGGRA,QUERUB,PINSTR,HAMVIR,NA,NA,NA,Poaceae sp.,CELORB,MAICAN,ACERUB,90,5,20,Y,2,"slightly sloped, mixed hard and softwood, right by the road, where close to marsh, clay like soil keeps having more worms, small patch of woodds between road and wetland patchy leaf litter, 15 cwd, partly cloudy brief 30 sec of rain before found a bunch of adults and juveniles that mightbe amynthas but likely euro",N
31,8/19/24,3,3. Sebago Beach,Sebago Lake,RW,43.91260,-70.57225,,,,,49,0,NA,72,N,0,"trail parking lot about 30 ft away, lake and beach about 70 ft away",Y,Y,N,Mesic,Moderate,2.7,Y,N,65,75,90,90,9,90.64,QUERUB,PINSTR,ACERUB,FAGGRA,ACERUB,FAGGRA,NA,NA,VACANG,PTEAQU,GAUPRO,LYSBOR,75,5,50,Y,10,"also indian cucumber present, flattish area, majorly hardwood by the beach and parking lot, no sign of worms, thickish leaf litter, 5 cwd, cloudy",N
32,8/23/24,1,1. by the parking lot,Colby Hume,RW,43.91263,-70.57223,44.508996,-69.758261,43.54758,70.34334,89,2,254,68,"Possibly, many juvenile worms",0,"road on either side about 15 ft away, hume lake about 60 ft away",Y,Y,N,Mesic,Moderate,1.1,Y,Maybe,50,75,80,75,2,97.92,TSUCAN,FRAAME,ACERUB,FAGGRA,NA,NA,NA,NA,OSMCIN,POLACR,ACEPEN,ARITRI,98,0,20,Y,10,"SLIGHTLY SLOPED rocky area between hume road and private property, 5 cwd",N
33,8/26/24,3,3. Johnson Pond,Colby Arboretum,RW,43.91263,-70.57223,44.563779,-69.665469,,,182,4,12,80,"Possibly, found some juvenile worms",NA,"johnson pond about 30 ft way, ams and road about 25 ft away",Y,Y,N,Hydric,Moderate,2.2,Y,N,50,25,80,30,4,95.84,ACERUB,BETPAP,QUERUB,THUOCC,ACERUB,FRAAME,Malus sp.,NA,DOEUMB,FRAAME,VEROFF,HIEMAC,95,30,30,Y,10,"white pine also, slightly sloped wet area by floodplain of johnson pond and below AMS, hillside parking area. 20$ cloud cover, rained briefly (about an hour earlier) partly cloudy, I saw a mealworm try to attack an earthworm and saw two earwigs",N
34,8/27/24,1,1. welcome way,Falmouth Land Trust,RW,43.76734,-70.32373,,,,,122,3,108,74,"Possibly, found 3 juveniles",0,"white loop trail about 10 ft away, parking about 100 ft away, ",Y,Y,N,Mesic,Moderate,1.4,Y,Maybe granulated soil,60,45,75,70,3,96.88,ACESAC,QUERUB,ACERUB,FAGGRA,FAGGRA,PINSTR,OSTVIR,TSUCAN,ATHFIL,ONSE,CORCOR,FRAAME,95,10,60,Y,5,"also buckthorn, slightly slopped hardwoodm sugar maple area by ephemeral streams/floodplain like , 5% cwd, granulated soil with patches of thin lef litter and base soil easier to shovel, right by white loop trailhead",N
35,8/27/24,2,2. Fox Run Road,Falmouth Land Trust,RW,43.78147,-70.33348,,,,,120,2,298,80,N,0,"vernal pool about 25 ft away, white oak trail about 10 ft away, road about 100 ft away",Y,Y,N,Mesic,Moderate,2.7,Y,N,100,90,75,80,12,87.52,ACERUB,PINSTR,QUERUB,FAGGRA,FAGGRA,ABIBAL,PINSTR,TSUCAN,OSMCIN,MITREP,ARANUD,QUERUB,90,25,45,Y,2,"slightly sloped , hardwood overstory but softwood, pine leaf litter, deep leaf litter, 5 cwd, ~ 25 avg dbh, right by white oak trail, mealworms and slugs found",N
36,8/27/24,3,3. Hurricane Way,Falmouth Land Trust,RW,43.78961,-70.31664,,,,,30,0,NA,83,"Possibly, found a juvenile",0,"trail for bikes/hike was ~20 ft sway, road about 80 ft away, field about 20 ft, and I95 about 200 m away",Y,Y,N,Mesic,Moderate,3.9,Y,N,85,90,98,100,4,95.84,PINSTR,ACESAC,FRAAME,PRUSER,FRAAME,NA,NA,NA,FRAAME,IMPCAP,RHACAT,CIRCAN,99,5,25,Y,1,"mixed hardwood and softwood area with a ton of weeds invasives y trail edge were people hike/bike maybe ride horses very close to I95 grey, sadly soil lots of branches, 15 cwd, easy soil to work in",N
37,9/2/24,4,4. West Lot/Washington Street,Colby Arboretum,RW + AS,44.55988,-69.66862,,,,,108,1,292,65,"Possibly, found juveniles and one adult",0,"washington street about 10 ft, west lot about 25 ft, and mowed lawns about 25 ft",Y,Y,Y,Mesic,Moderate,2.0,Y,Maybe,90,85,95,95,10,89.6,QUERUB,PINSTR,ACESAC,ACERUB,FAGGRA,FRAAME,ACERUB,CORCOR,FRAAME,MAIRAC,QUERUB,MAICAN,85,15,55,N,0,"slightly slopped thin strip of forest between washing street, and west lot, highly disturbed area, lots of broken branches haedwood area, poison ivy, japanese notweed, very visible houses, dry cool day, partly clowdy. allso american beech trees and red maple seedlings",N
38,9/2/24,5,5. Organic Farm,Colby Arboretum,RW + AS,44.55936,-69.66680,,,,,132,4,358,65,"Possibly, found many juveniles",0,"trail to west lot about 15 ft, 2 feet 2 bedrock about 50 ft away",Y,Y,N,Mesic,Well,2.6,Y,Maybe,98,95,90,70,10,89.6,FRAAME,QUERUB,ACERUB,PINSTR,FRAAME,QUERUB,FAGGRA,NA,FRAAME,QUERUB,HIEMAC,RUBPUB,80,25,30,Y,3,"slightly slooped mix hardwood and softwood, small branches ~10 cwd, close by an organic farm, close by west lot and trail cloudy, cool and breezy, saw many juveniles, unsure of species",N
39,9/2/24,6,6. lower organic farm,Colby Arboretum,RW + AS,44.55888,-69.66528,,,,,126,5,240,65,"Possibly, many juveniles and adults",0,organic farm about 20 ft away,Y,Y,N,Mesic,Moderate,2.0,Y,Maybe granulated soil,96,90,90,80,2,97.92,QUERUB,FAGGRA,ACESAC,ACERUB,NA,NA,NA,NA,MAICAN,ACERUB,NA,NA,90,0,2,Y,1,"slightly slopped hardwood forest w semi-deep leaf litter, found many possibly euro or amynthas worms, 5 cwd, partly cloudy, cool and breezy in patch of forest below organic farm",N
40,9/2/24,7,7. Runnals Hill,Colby Arboretum,RW,44.56010,-69.66258,,,,,104,7,126,65,"Possibly, some older juveniles and maybe amynthas and euro",0,"runnals hill about 20 ft, heights about 200 ft, runnals lot about 40 ft, dana about 150 ft away",Y,Y,N,Mesic,Moderate,3.4,Y,Maybe granulated soil,60,95,65,90,6,93.76,QUERUB,FAGGRA,ACEPLA,NA,ACERUB,ACEPLA,Betula sp.,NA,PTEAQU,MAICAN,PRUSER,Betula sp. ,85,20,15,Y,5,"slightly slopped area with hardwood trees bt runnals lot and behind dana/heights, some boulders, 10 cwd, clear sky, cool, breeze, found small dark/loamy soil mounds where larger juvinles sit, maybe amynthas/euro or just euro",N
41,9/3/24,1,1. Floodplain West Side,Viles Arboretum,RW,44.29818,-69.76548,,,,,65,7,288,62,"Possibly, found a bunch of juveniles but could be european",0,nearby houses about 250 ft away,Y,Y,N,Hydric,Poor,0,Y,Maybe granulated soil,2,5,15,30,4,95.84,ACESAC,FRAAME,Salix sp.,NA,FRAAME,NA,NA,NA,IMPCAP,Poaceae sp.,VIBDEN,RANREP,93,5,15,Y,2,"clay hardwood flood plain slightly slopped by nearby houses in viles, 5 cwd, clear skys cool, breezy, found a bunch of clumped distributed soil patches where I would dig around and find worms",N
42,9/3/24,2,2. Hosta garden,Viles Arboretum,RW,44.29837,-69.76331,,,,,78,4,265,65,"Possibly, found many older juveniles",0,"hosta garden and trail about 50 ft, viles arb",Y,Y,N,Mesic,Moderate,3.5,Y,Maybe,95,99,95,99,6,93.76,FRAAME,PINSTR,QUERUB,ACESAC,ACESAC,NA,NA,NA,CELORB,EUOALA,ACESAC,VACANG,90,5,20,Y,3,"slightly slopped mixed forest with deep leaf litter with many invasives, buckthorn, honeysuckle, norway maple, burning bush, oriental bittersweet, 3 cwd, no clouds. breezy and cool, found many soil clumps, with granulated, wetter soil",N
43,9/3/24,3,3. Forests of the future,Viles Arboretum,RW,44.29586,-69.75988,,,,,111,0,NA,65,"Possibly, found juveniles and older juveniles",0,"forests of future, viles arboretum about 25 ft away",Y,Y,N,Hydric,Moderate,0.2,Y,Maybe,40,50,10,80,7,92.72,QUERUB,ACESAC,FAGGRA,BETPOP,FAGGRA,TSUCAN,NA,NA,OSMCIN,THENOV,FRAAME,NA,95,5,5,Y,3,"valley area with hardwoods by hemlock forest, clay soil, patchy, thin leaf litter, cobbles, 8% cwd, right by trail and prairie clear skies cool",N
44,9/7/24,8,8. Woodsmen Field,Colby Arboretum,RW,44.56522,-69.66811,,,,,98,5,310,75,"Possibly, amynthas maybed found",0.01,"woodsmen field about 45 ft, highway about 300 ft away, ",Y,Y,Y,Mesic,Moderate,0.7,Y,Maybe,98,95,90,95,9,90.64,ACEPLA,FRAAME,PINSTR,ACERUB,FRAAME,FAGGRA,NA,NA,ONSE,FRAAME,DRYCAR,PRUSER,90,5,75,Y,3,"Slightly sloped mixed forest with shallow leaf litter mostly conifer, lots of branches 15 cwd, cloudy slightly breezy, found a few younger worms struggling to find large ones",N
